Country/Area,Purpose_of_visit_to_Japan,Year,Growth Rate(%),Visitor Arrivals
China,Tourism,1990,,
China,Tourism,1991,,
China,Tourism,1992,,"29,147"
China,Tourism,1993,-9.239372834,"26,454"
China,Tourism,1994,-7.197399259,"24,550"
China,Tourism,1995,3.824847251,"25,489"
China,Tourism,1996,14.91623838,"29,291"
China,Tourism,1997,14.13403435,"33,431"
China,Tourism,1998,6.53584996,"35,616"
China,Tourism,1999,4.31547619,"37,153"
China,Tourism,2000,21.84749549,"45,270"
China,Tourism,2001,59.30638392,"72,118"
China,Tourism,2002,40.46285255,"101,299"
China,Tourism,2003,-5.239933267,"95,991"
China,Tourism,2004,97.61435968,"189,692"
China,Tourism,2005,6.456782574,"201,940"
China,Tourism,2006,47.08576805,"297,025"
China,Tourism,2007,37.1217911,"407,286"
China,Tourism,2008,11.89385346,"455,728"
China,Tourism,2009,5.69813573,"481,696"
China,Tourism,2010,72.65080051,"831,652"
China,Tourism,2011,-45.50821738,"453,182"
China,Tourism,2012,82.97416932,"829,206"
China,Tourism,2013,-15.01062462,"704,737"
China,Tourism,2014,148.8264416,"1,753,572"
China,Tourism,2015,141.6735669,"4,237,920"
China,Tourism,2016,30.60947352,"5,535,125"
China,Tourism,2017,16.48770353,"6,447,740"
China,Tourism,2018,15.17482095,"7,426,173"
China,Tourism,2019,15.47670651,"8,575,500"
China,Tourism,2020,-89.91130546,"865,156"
China,Tourism,2021,-99.55487796,"3,851"
China,Tourism,2022,"1,012.75","42,852"
China,Tourism,2023,"4,099.86","1,799,723"
China,Tourism,2024,,"717,680"
China,Others,1990,,
China,Others,1991,,
China,Others,1992,,"81,675"
China,Others,1993,5.75573921,"86,376"
China,Others,1994,5.581411503,"91,197"
China,Others,1995,9.554042348,"99,910"
China,Others,1996,12.47722951,"112,376"
China,Others,1997,9.367658575,"122,903"
China,Others,1998,9.374872867,"134,425"
China,Others,1999,11.34907941,"149,681"
China,Others,2000,15.78156212,"173,303"
China,Others,2001,12.04306908,"194,174"
China,Others,2002,13.59553802,"220,573"
China,Others,2003,2.71882778,"226,570"
China,Others,2004,12.30657192,"254,453"
China,Others,2005,0.898397739,"256,739"
China,Others,2006,15.3595675,"296,173"
China,Others,2007,7.68165903,"318,924"
China,Others,2008,5.331991321,"335,929"
China,Others,2009,1.930169768,"342,413"
China,Others,2010,2.398565475,"350,626"
China,Others,2011,12.61429557,"394,855"
China,Others,2012,-8.922009345,"359,626"
China,Others,2013,4.257200536,"374,936"
China,Others,2014,3.018115092,"386,252"
China,Others,2015,9.198398973,"421,781"
China,Others,2016,12.97901043,"476,524"
China,Others,2017,13.56426959,"541,161"
China,Others,2018,8.070056785,"584,833"
China,Others,2019,10.37167875,"645,490"
China,Others,2020,-73.59122527,"170,466"
China,Others,2021,-79.73085542,"34,552"
China,Others,2022,247.5630933,"120,090"
China,Others,2023,238.3537347,"406,329"
China,Others,2024,,"120,797"
China,Transit,1990,,
China,Transit,1991,,
China,Transit,1992,,"23,835"
China,Transit,1993,49.70002098,"35,681"
China,Transit,1994,-42.1989294,"20,624"
China,Transit,1995,71.92106284,"35,457"
China,Transit,1996,2.961333446,"36,507"
China,Transit,1997,-2.777549511,"35,493"
China,Transit,1998,-13.44208717,"30,722"
China,Transit,1999,33.12609856,"40,899"
China,Transit,2000,36.39942297,"55,786"
China,Transit,2001,-8.968199907,"50,783"
China,Transit,2002,-22.49571707,"39,359"
China,Transit,2003,-23.66675983,"30,044"
China,Transit,2004,2.050326188,"30,660"
China,Transit,2005,-6.23939987,"28,747"
China,Transit,2006,-9.580130101,"25,993"
China,Transit,2007,,
China,Transit,2008,,
China,Transit,2009,,
China,Transit,2010,,
China,Transit,2011,,
China,Transit,2012,,
China,Transit,2013,,
China,Transit,2014,,
China,Transit,2015,,
China,Transit,2016,,
China,Transit,2017,,
China,Transit,2018,,
China,Transit,2019,,
China,Transit,2020,,
China,Transit,2021,,
China,Transit,2022,,
China,Transit,2023,,
China,Transit,2024,,
China,Unknown,1990,,"105,993"
China,Unknown,1991,23.10907324,"130,487"
China,Unknown,1992,,
China,Unknown,1993,,
China,Unknown,1994,,
China,Unknown,1995,,
China,Unknown,1996,,
China,Unknown,1997,,
China,Unknown,1998,,
China,Unknown,1999,,
China,Unknown,2000,,
China,Unknown,2001,,
China,Unknown,2002,,
China,Unknown,2003,,
China,Unknown,2004,,
China,Unknown,2005,,
China,Unknown,2006,,
China,Unknown,2007,,
China,Unknown,2008,,
China,Unknown,2009,,
China,Unknown,2010,,
China,Unknown,2011,,
China,Unknown,2012,,
China,Unknown,2013,,
China,Unknown,2014,,
China,Unknown,2015,,
China,Unknown,2016,,
China,Unknown,2017,,
China,Unknown,2018,,
China,Unknown,2019,,
China,Unknown,2020,,
China,Unknown,2021,,
China,Unknown,2022,,
China,Unknown,2023,,
China,Unknown,2024,,
China,Business,1990,,
China,Business,1991,,
China,Business,1992,,"48,563"
China,Business,1993,19.91021972,"58,232"
China,Business,1994,-3.000068691,"56,485"
China,Business,1995,5.973267239,"59,859"
China,Business,1996,5.833709217,"63,351"
China,Business,1997,8.601284905,"68,800"
China,Business,1998,-3.463662791,"66,417"
China,Business,1999,1.184937591,"67,204"
China,Business,2000,15.21486816,"77,429"
China,Business,2001,-4.029497992,"74,309"
China,Business,2002,22.71595634,"91,189"
China,Business,2003,5.469957999,"96,177"
China,Business,2004,46.81680651,"141,204"
China,Business,2005,17.13124274,"165,394"
China,Business,2006,16.37907058,"192,484"
China,Business,2007,12.33609027,"216,229"
China,Business,2008,-3.454670743,"208,759"
China,Business,2009,-12.82962651,"181,976"
China,Business,2010,26.71835847,"230,597"
China,Business,2011,-15.34625342,"195,209"
China,Business,2012,21.033354,"236,268"
China,Business,2013,-0.636565256,"234,764"
China,Business,2014,14.72542639,"269,334"
China,Business,2015,24.0051386,"333,988"
China,Business,2016,8.361677665,"361,915"
China,Business,2017,1.38209248,"366,917"
China,Business,2018,0.575334476,"369,028"
China,Business,2019,1.185817878,"373,404"
China,Business,2020,-90.99259783,"33,634"
China,Business,2021,-88.59487423,"3,836"
China,Business,2022,582.5599583,"26,183"
China,Business,2023,736.8216018,"219,105"
China,Business,2024,,"37,074"
Hong Kong,Tourism,1990,,
Hong Kong,Tourism,1991,,
Hong Kong,Tourism,1992,,"136,040"
Hong Kong,Tourism,1993,-16.66715672,"113,366"
Hong Kong,Tourism,1994,-3.50634229,"109,391"
Hong Kong,Tourism,1995,-42.13326508,"63,301"
Hong Kong,Tourism,1996,111.213093,"133,700"
Hong Kong,Tourism,1997,70.46297681,"227,909"
Hong Kong,Tourism,1998,39.89223769,"318,827"
Hong Kong,Tourism,1999,-32.42008989,"215,463"
Hong Kong,Tourism,2000,-4.709857377,"205,315"
Hong Kong,Tourism,2001,10.49460585,"226,862"
Hong Kong,Tourism,2002,12.53272915,"255,294"
Hong Kong,Tourism,2003,-10.6626086,"228,073"
Hong Kong,Tourism,2004,19.03732577,"271,492"
Hong Kong,Tourism,2005,-0.872585564,"269,123"
Hong Kong,Tourism,2006,19.80135477,"322,413"
Hong Kong,Tourism,2007,23.96553489,"399,681"
Hong Kong,Tourism,2008,28.39864792,"513,185"
Hong Kong,Tourism,2009,-18.51496049,"418,169"
Hong Kong,Tourism,2010,13.11957606,"473,031"
Hong Kong,Tourism,2011,-29.43950819,"333,773"
Hong Kong,Tourism,2012,34.06896304,"447,486"
Hong Kong,Tourism,2013,58.44004058,"708,997"
Hong Kong,Tourism,2014,25.00870949,"886,308"
Hong Kong,Tourism,2015,67.04847525,"1,480,564"
Hong Kong,Tourism,2016,21.12667875,"1,793,358"
Hong Kong,Tourism,2017,21.60204488,"2,180,760"
Hong Kong,Tourism,2018,-1.119151122,"2,156,354"
Hong Kong,Tourism,2019,3.75457833,"2,237,316"
Hong Kong,Tourism,2020,-84.90977582,"337,616"
Hong Kong,Tourism,2021,-99.88833468,377
Hong Kong,Tourism,2022,"67,971.88","256,631"
Hong Kong,Tourism,2023,709.457548,"2,077,319"
Hong Kong,Tourism,2024,,"384,823"
Hong Kong,Others,1990,,
Hong Kong,Others,1991,,
Hong Kong,Others,1992,,"5,684"
Hong Kong,Others,1993,-5.823363828,"5,353"
Hong Kong,Others,1994,-15.26246964,"4,536"
Hong Kong,Others,1995,-6.701940035,"4,232"
Hong Kong,Others,1996,-4.229678639,"4,053"
Hong Kong,Others,1997,5.896866519,"4,292"
Hong Kong,Others,1998,5.521901212,"4,529"
Hong Kong,Others,1999,2.539191875,"4,644"
Hong Kong,Others,2000,0.064599483,"4,647"
Hong Kong,Others,2001,-1.721540779,"4,567"
Hong Kong,Others,2002,1.335668929,"4,628"
Hong Kong,Others,2003,-13.39671564,"4,008"
Hong Kong,Others,2004,0.823353293,"4,041"
Hong Kong,Others,2005,2.499381341,"4,142"
Hong Kong,Others,2006,-11.3713182,"3,671"
Hong Kong,Others,2007,-1.498229365,"3,616"
Hong Kong,Others,2008,12.94247788,"4,084"
Hong Kong,Others,2009,7.859941234,"4,405"
Hong Kong,Others,2010,6.946651532,"4,711"
Hong Kong,Others,2011,-6.941201443,"4,384"
Hong Kong,Others,2012,-7.230839416,"4,067"
Hong Kong,Others,2013,15.26924023,"4,688"
Hong Kong,Others,2014,20.96843003,"5,671"
Hong Kong,Others,2015,22.23593722,"6,932"
Hong Kong,Others,2016,30.06347375,"9,016"
Hong Kong,Others,2017,31.8988465,"11,892"
Hong Kong,Others,2018,16.90211907,"13,902"
Hong Kong,Others,2019,12.38670695,"15,624"
Hong Kong,Others,2020,-75.08960574,"3,892"
Hong Kong,Others,2021,-83.60739979,638
Hong Kong,Others,2022,780.4075235,"5,617"
Hong Kong,Others,2023,200.2848496,"16,867"
Hong Kong,Others,2024,,"3,962"
Hong Kong,Transit,1990,,
Hong Kong,Transit,1991,,
Hong Kong,Transit,1992,,"7,385"
Hong Kong,Transit,1993,6.675693974,"7,878"
Hong Kong,Transit,1994,-20.99517644,"6,224"
Hong Kong,Transit,1995,8.820694087,"6,773"
Hong Kong,Transit,1996,-7.899010778,"6,238"
Hong Kong,Transit,1997,-12.37576146,"5,466"
Hong Kong,Transit,1998,13.5748262,"6,208"
Hong Kong,Transit,1999,-21.58505155,"4,868"
Hong Kong,Transit,2000,-30.81347576,"3,368"
Hong Kong,Transit,2001,-7.927553444,"3,101"
Hong Kong,Transit,2002,-27.7007417,"2,242"
Hong Kong,Transit,2003,-12.66726137,"1,958"
Hong Kong,Transit,2004,-74.05515833,508
Hong Kong,Transit,2005,-94.68503937,27
Hong Kong,Transit,2006,-44.44444444,15
Hong Kong,Transit,2007,,
Hong Kong,Transit,2008,,
Hong Kong,Transit,2009,,
Hong Kong,Transit,2010,,
Hong Kong,Transit,2011,,
Hong Kong,Transit,2012,,
Hong Kong,Transit,2013,,
Hong Kong,Transit,2014,,
Hong Kong,Transit,2015,,
Hong Kong,Transit,2016,,
Hong Kong,Transit,2017,,
Hong Kong,Transit,2018,,
Hong Kong,Transit,2019,,
Hong Kong,Transit,2020,,
Hong Kong,Transit,2021,,
Hong Kong,Transit,2022,,
Hong Kong,Transit,2023,,
Hong Kong,Transit,2024,,
Hong Kong,Unknown,1990,,"152,563"
Hong Kong,Unknown,1991,1.657675845,"155,092"
Hong Kong,Unknown,1992,,
Hong Kong,Unknown,1993,,
Hong Kong,Unknown,1994,,
Hong Kong,Unknown,1995,,
Hong Kong,Unknown,1996,,
Hong Kong,Unknown,1997,,
Hong Kong,Unknown,1998,,
Hong Kong,Unknown,1999,,
Hong Kong,Unknown,2000,,
Hong Kong,Unknown,2001,,
Hong Kong,Unknown,2002,,
Hong Kong,Unknown,2003,,
Hong Kong,Unknown,2004,,
Hong Kong,Unknown,2005,,
Hong Kong,Unknown,2006,,
Hong Kong,Unknown,2007,,
Hong Kong,Unknown,2008,,
Hong Kong,Unknown,2009,,
Hong Kong,Unknown,2010,,
Hong Kong,Unknown,2011,,
Hong Kong,Unknown,2012,,
Hong Kong,Unknown,2013,,
Hong Kong,Unknown,2014,,
Hong Kong,Unknown,2015,,
Hong Kong,Unknown,2016,,
Hong Kong,Unknown,2017,,
Hong Kong,Unknown,2018,,
Hong Kong,Unknown,2019,,
Hong Kong,Unknown,2020,,
Hong Kong,Unknown,2021,,
Hong Kong,Unknown,2022,,
Hong Kong,Unknown,2023,,
Hong Kong,Unknown,2024,,
Hong Kong,Business,1990,,
Hong Kong,Business,1991,,
Hong Kong,Business,1992,,"28,563"
Hong Kong,Business,1993,-9.480796835,"25,855"
Hong Kong,Business,1994,-2.92786695,"25,098"
Hong Kong,Business,1995,-6.131962706,"23,559"
Hong Kong,Business,1996,10.96820748,"26,143"
Hong Kong,Business,1997,7.401598898,"28,078"
Hong Kong,Business,1998,-2.781537147,"27,297"
Hong Kong,Business,1999,2.190716929,"27,895"
Hong Kong,Business,2000,6.897293422,"29,819"
Hong Kong,Business,2001,-7.109561018,"27,699"
Hong Kong,Business,2002,2.747391603,"28,460"
Hong Kong,Business,2003,-8.028812368,"26,175"
Hong Kong,Business,2004,-7.526265521,"24,205"
Hong Kong,Business,2005,5.42449907,"25,518"
Hong Kong,Business,2006,2.539383964,"26,166"
Hong Kong,Business,2007,9.856302071,"28,745"
Hong Kong,Business,2008,14.52774396,"32,921"
Hong Kong,Business,2009,-18.00370584,"26,994"
Hong Kong,Business,2010,14.65140402,"30,949"
Hong Kong,Business,2011,-13.70318912,"26,708"
Hong Kong,Business,2012,12.74524487,"30,112"
Hong Kong,Business,2013,6.920828905,"32,196"
Hong Kong,Business,2014,5.590756616,"33,996"
Hong Kong,Business,2015,8.23626309,"36,796"
Hong Kong,Business,2016,0.062506794,"36,819"
Hong Kong,Business,2017,5.69542899,"38,916"
Hong Kong,Business,2018,-3.515263645,"37,548"
Hong Kong,Business,2019,0.80963034,"37,852"
Hong Kong,Business,2020,-88.0798901,"4,512"
Hong Kong,Business,2021,-94.74734043,237
Hong Kong,Business,2022,"2,869.20","7,037"
Hong Kong,Business,2023,187.281512,"20,216"
Hong Kong,Business,2024,,"3,399"
South Korea,Tourism,1990,,
South Korea,Tourism,1991,,
South Korea,Tourism,1992,,"502,871"
South Korea,Tourism,1993,-5.876855098,"473,318"
South Korea,Tourism,1994,8.120333476,"511,753"
South Korea,Tourism,1995,-10.27585574,"459,166"
South Korea,Tourism,1996,23.0565852,"565,034"
South Korea,Tourism,1997,3.940470839,"587,299"
South Korea,Tourism,1998,-35.24950664,"380,279"
South Korea,Tourism,1999,35.70378591,"516,053"
South Korea,Tourism,2000,16.98352689,"603,697"
South Korea,Tourism,2001,8.228134312,"653,370"
South Korea,Tourism,2002,15.85946707,"756,991"
South Korea,Tourism,2003,21.21544378,"917,590"
South Korea,Tourism,2004,13.06607526,"1,037,483"
South Korea,Tourism,2005,17.18418519,"1,215,766"
South Korea,Tourism,2006,32.81708816,"1,614,745"
South Korea,Tourism,2007,29.07270188,"2,084,195"
South Korea,Tourism,2008,-9.190166947,"1,892,654"
South Korea,Tourism,2009,-39.03085297,"1,153,935"
South Korea,Tourism,2010,70.11374124,"1,963,002"
South Korea,Tourism,2011,-38.91906376,"1,199,020"
South Korea,Tourism,2012,30.88005204,"1,569,278"
South Korea,Tourism,2013,25.79778726,"1,974,117"
South Korea,Tourism,2014,15.75144736,"2,285,069"
South Korea,Tourism,2015,54.02633356,"3,519,608"
South Korea,Tourism,2016,30.51246048,"4,593,527"
South Korea,Tourism,2017,43.53519638,"6,593,328"
South Korea,Tourism,2018,5.831410177,"6,977,812"
South Korea,Tourism,2019,-27.81486518,"5,036,943"
South Korea,Tourism,2020,-92.23644183,"391,046"
South Korea,Tourism,2021,-99.46579175,"2,089"
South Korea,Tourism,2022,"41,011.92","858,828"
South Korea,Tourism,2023,673.172626,"6,640,223"
South Korea,Tourism,2024,,"1,614,144"
South Korea,Others,1990,,
South Korea,Others,1991,,
South Korea,Others,1992,,"81,329"
South Korea,Others,1993,1.88739564,"82,864"
South Korea,Others,1994,-0.590123576,"82,375"
South Korea,Others,1995,2.406069803,"84,357"
South Korea,Others,1996,-1.322948896,"83,241"
South Korea,Others,1997,0.084093175,"83,311"
South Korea,Others,1998,-6.414519091,"77,967"
South Korea,Others,1999,10.65963805,"86,278"
South Korea,Others,2000,8.279051438,"93,421"
South Korea,Others,2001,6.952398283,"99,916"
South Korea,Others,2002,7.834581048,"107,744"
South Korea,Others,2003,-1.330932581,"106,310"
South Korea,Others,2004,4.195277961,"110,770"
South Korea,Others,2005,16.50807981,"129,056"
South Korea,Others,2006,-2.36021572,"126,010"
South Korea,Others,2007,7.747797794,"135,773"
South Korea,Others,2008,4.778564221,"142,261"
South Korea,Others,2009,-0.747218141,"141,198"
South Korea,Others,2010,0.725222737,"142,222"
South Korea,Others,2011,7.083292318,"152,296"
South Korea,Others,2012,-7.17747019,"141,365"
South Korea,Others,2013,4.709086408,"148,022"
South Korea,Others,2014,-2.602991447,"144,169"
South Korea,Others,2015,1.101485063,"145,757"
South Korea,Others,2016,11.54181274,"162,580"
South Korea,Others,2017,11.21909214,"180,820"
South Korea,Others,2018,12.89735649,"204,141"
South Korea,Others,2019,15.14345477,"235,055"
South Korea,Others,2020,-75.64059475,"57,258"
South Korea,Others,2021,-74.47168955,"14,617"
South Korea,Others,2022,415.4546076,"75,344"
South Korea,Others,2023,91.53748142,"144,312"
South Korea,Others,2024,,"29,574"
South Korea,Transit,1990,,
South Korea,Transit,1991,,
South Korea,Transit,1992,,"13,529"
South Korea,Transit,1993,7.073693547,"14,486"
South Korea,Transit,1994,9.257213862,"15,827"
South Korea,Transit,1995,1.554305933,"16,073"
South Korea,Transit,1996,41.56038076,"22,753"
South Korea,Transit,1997,-13.6113919,"19,656"
South Korea,Transit,1998,-21.21489622,"15,486"
South Korea,Transit,1999,128.3094408,"35,356"
South Korea,Transit,2000,-5.933929178,"33,258"
South Korea,Transit,2001,26.89578447,"42,203"
South Korea,Transit,2002,24.34424093,"52,477"
South Korea,Transit,2003,29.14229091,"67,770"
South Korea,Transit,2004,-2.940829275,"65,777"
South Korea,Transit,2005,-77.09077641,"15,069"
South Korea,Transit,2006,-99.56201473,66
South Korea,Transit,2007,,
South Korea,Transit,2008,,
South Korea,Transit,2009,,
South Korea,Transit,2010,,
South Korea,Transit,2011,,
South Korea,Transit,2012,,
South Korea,Transit,2013,,
South Korea,Transit,2014,,
South Korea,Transit,2015,,
South Korea,Transit,2016,,
South Korea,Transit,2017,,
South Korea,Transit,2018,,
South Korea,Transit,2019,,
South Korea,Transit,2020,,
South Korea,Transit,2021,,
South Korea,Transit,2022,,
South Korea,Transit,2023,,
South Korea,Transit,2024,,
South Korea,Unknown,1990,,"740,441"
South Korea,Unknown,1991,16.39279835,"861,820"
South Korea,Unknown,1992,,
South Korea,Unknown,1993,,
South Korea,Unknown,1994,,
South Korea,Unknown,1995,,
South Korea,Unknown,1996,,
South Korea,Unknown,1997,,
South Korea,Unknown,1998,,
South Korea,Unknown,1999,,
South Korea,Unknown,2000,,
South Korea,Unknown,2001,,
South Korea,Unknown,2002,,
South Korea,Unknown,2003,,
South Korea,Unknown,2004,,
South Korea,Unknown,2005,,
South Korea,Unknown,2006,,
South Korea,Unknown,2007,,
South Korea,Unknown,2008,,
South Korea,Unknown,2009,,
South Korea,Unknown,2010,,
South Korea,Unknown,2011,,
South Korea,Unknown,2012,,
South Korea,Unknown,2013,,
South Korea,Unknown,2014,,
South Korea,Unknown,2015,,
South Korea,Unknown,2016,,
South Korea,Unknown,2017,,
South Korea,Unknown,2018,,
South Korea,Unknown,2019,,
South Korea,Unknown,2020,,
South Korea,Unknown,2021,,
South Korea,Unknown,2022,,
South Korea,Unknown,2023,,
South Korea,Unknown,2024,,
South Korea,Business,1990,,
South Korea,Business,1991,,
South Korea,Business,1992,,"266,323"
South Korea,Business,1993,3.166080286,"274,755"
South Korea,Business,1994,12.28330695,"308,504"
South Korea,Business,1995,1.794142053,"314,039"
South Korea,Business,1996,2.959823461,"323,334"
South Korea,Business,1997,-0.936802192,"320,305"
South Korea,Business,1998,-21.72679165,"250,713"
South Korea,Business,1999,21.6478603,"304,987"
South Korea,Business,2000,9.517454842,"334,014"
South Korea,Business,2001,1.337668481,"338,482"
South Korea,Business,2002,4.768643532,"354,623"
South Korea,Business,2003,3.67714446,"367,663"
South Korea,Business,2004,1.843808052,"374,442"
South Korea,Business,2005,3.428568376,"387,280"
South Korea,Business,2006,-2.782482958,"376,504"
South Korea,Business,2007,1.121369228,"380,726"
South Korea,Business,2008,-8.731738836,"347,482"
South Korea,Business,2009,-16.0707605,"291,639"
South Korea,Business,2010,14.72813993,"334,592"
South Korea,Business,2011,-8.319087127,"306,757"
South Korea,Business,2012,8.272019872,"332,132"
South Korea,Business,2013,0.5702552,"334,026"
South Korea,Business,2014,-2.380353625,"326,075"
South Korea,Business,2015,3.267653147,"336,730"
South Korea,Business,2016,-0.752828676,"334,195"
South Korea,Business,2017,9.603674501,"366,290"
South Korea,Business,2018,-2.536514783,"356,999"
South Korea,Business,2019,-12.43700963,"312,599"
South Korea,Business,2020,-87.32081677,"39,635"
South Korea,Business,2021,-94.3459064,"2,241"
South Korea,Business,2022,"3,406.43","78,579"
South Korea,Business,2023,121.3810306,"173,959"
South Korea,Business,2024,,"31,883"
Taiwan,Tourism,1990,,
Taiwan,Tourism,1991,,
Taiwan,Tourism,1992,,"622,707"
Taiwan,Tourism,1993,-6.54384807,"581,958"
Taiwan,Tourism,1994,-3.420349922,"562,053"
Taiwan,Tourism,1995,-12.80537601,"490,080"
Taiwan,Tourism,1996,28.18152138,"628,192"
Taiwan,Tourism,1997,15.53553691,"725,785"
Taiwan,Tourism,1998,2.521958982,"744,089"
Taiwan,Tourism,1999,11.5416301,"829,969"
Taiwan,Tourism,2000,-2.736005803,"807,261"
Taiwan,Tourism,2001,-12.2879713,"708,065"
